X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,Y
50500,12,6.408432304,0,5395.9,kOT,62,727,kS,kS,430,kF,842,1272,5000,kU,2,k0,k1,50500,49773,342,k26,k10,kD,13859.21,12,66,kO,kF,k3,0
2111.46,8,1.495418803,5,1749.64,kOT,60,0,kC,kS,330,kM,1170,1500,1600,kP,1,k0,k6,2111.46,2111.46,271,k76,k10,kD,400.4,12,59,kO,kF,k3,0
5000,1,0.194693768,2,181.99,kOT,46,4666.04,kC,kM,573,kF,934.75,1507.75,6500,kS,2,k0,k3,5000,333.96,1461,k23,k17,kD,5.19,14.69,45,kR,kF,k3,0
64620,10,0.387138889,2,278.74,kOT,33,819,kS,kM,230,kM,720,950,8000,kS,1,k0,k9,64620,63801,1099,k80,k17,kD,5292.76,14.69,37,kO,kN,k3,0
5000,3,0.258851064,1,121.66,kOT,32,508.06,kD,kM,280,kF,470,750,2500,kS,2,k0,k5,5000,4491.94,732,k110,k10,kD,6.23,14.69,33,kO,kF,k3,0
23000,-2,1.204488079,2,171.76,kOT,29,0,kC,kM,995.4,kF,142.6,1138,5000,kS,1,k0,k2,23000,23000,1098,k76,k10,kD,5.1,13.69,31,kO,kF,k3,0
2500,5,0.33079661,1,195.17,kOT,39,0,kS,kM,210,kF,590,800,6300,kU,2,k0,k3,2500,2500,1284,k15,k10,kD,952.78,14.69,38,kO,kF,k3,0
47776,18,0.566612903,1,281.04,kOT,69,10919,kC,kM,500,kM,496,996,10000,kP,1,k0,k2,47776,36857,1470,k26,k10,kD,1.8,14.69,70,kO,kN,k3,0
142410,6,0.177252907,2,243.9,kOT,42,35899,kC,kM,1042,kF,1376,2418,8000,kS,1,k0,k2,142410,106511,1284,k10,k10,kD,127.11,13.69,45,kO,kN,k3,0
18979.19,-2,0.203981132,1,108.11,kOT,26,1671.02,kC,kM,220,kM,530,750,1200,kP,3,k0,k2,18979.19,17308.17,357,k02,k10,kD,3168.98,14.69,30,kO,kN,k3,0
8611,6,0.236882662,2,135.26,kOT,42,1998,kC,kM,445,kF,571,1016,1500,kP,1,k0,k1,8611,6613,360,k10,k10,kD,1.87,14.69,42,kO,kN,k3,0
64860.55,17,0.693818681,0,505.1,kOT,65,3967,kC,kM,349,kF,728,1077,18000,kS,2,k0,k6,64860.55,60893.55,1467,k03,k10,kD,30.19,14.69,68,kO,kN,k3,0
15600,6,1.504673402,0,557,kOT,25,5949,kS,kM,1040,kM,370.18,1410.18,20000,kS,2,k0,k4,15600,9651,1477,k28,k10,kD,18.08,13.99,28,kO,kF,k3,0
5000,12,0.540193741,2,362.47,kOT,35,0,kC,kM,450,kM,671,1121,13000,kS,1,k0,k7,5000,5000,1451,k28,k17,kD,8.79,14.69,39,kR,kF,k3,0
23806.95,4,0.335173077,0,174.29,kOT,68,6492.41,kC,kM,340,kM,520,860,5000,kP,2,k0,k1,23806.95,17314.54,1098,k08,k10,kD,0.11,14.69,68,kO,kF,k3,0
265236,2,0.267959184,2,275.73,kOT,45,22569,kC,kM,1361,kM,1029,2390,10000,kS,1,k0,k8,265236,242667,1455,k26,k17,kI,2.74,13.99,44,kO,kN,k3,0
3500,5,0.382210817,0,280,kOT,28,3168.23,kC,kM,490.77,kF,732.58,1223.35,10000,kS,1,k0,k3,3500,331.77,1461,k29,k10,kD,0.28,14.69,27,kR,kF,k3,0
27541.84,21,0.441682237,1,278.94,kOT,43,0,kS,kM,255,kF,631.54,886.54,10000,kS,2,k0,k3,27541.84,27541.84,1452,k29,k10,kD,1746.99,14.69,42,kO,kN,k3,0
5000,9,0.261083333,0,93.99,kOT,59,3635.51,kS,kM,220,kF,360,580,1500,kP,5,k0,k2,5000,1364.49,552,k70,k10,kD,435.78,14.69,62,kR,kA,k3,0
46896.59,-3,0.449362979,1,290.63,kOT,22,30432.37,kC,kM,388.24,kM,646.76,1035,6000,kP,2,k0,k2,46896.59,16464.22,721,k89,k10,kI,187.98,14.69,26,kO,kF,k3,0
3500,9,0.941414456,2,121,kOT,36,350,kS,kM,170,kF,128.53,298.53,2500,kS,3,k0,k4,3500,3150,735,k03,k10,kD,947.51,13.99,40,kO,kF,k3,0
111561.25,1,0.320768574,2,484.8,kOT,39,61092.7,kD,kM,1045,kF,1511.37,2556.37,10000,kU,2,k0,k3,111561.25,50468.55,723,k05,k10,kD,21.07,14.69,43,kO,kN,k3,0
3000,5,0.762345679,2,185.25,kOT,25,0,kS,kM,435,kF,243,678,4600,kP,2,k0,k3,3000,3000,910,k110,k10,kD,30.14,14.69,27,kR,kF,k3,0
19323.47,6,0.770486143,2,334.73,kOT,29,1960.34,kC,kM,595,kM,434.44,1029.44,12000,kU,1,k0,k2,19323.47,17363.13,1452,k29,k10,kD,96.93,14.69,29,kO,kN,k3,0
16620,7,0.431815385,2,280.68,kOT,32,3579.17,kC,kM,250,kM,650,900,10000,kS,2,k0,k3,16620,13040.83,1468,k19,k10,kD,5.36,14.69,34,kR,kF,k3,0
13000,3,0.340470588,0,173.64,kOT,26,0,kS,kM,190,kM,510,700,5000,kS,1,k0,k9,13000,13000,1089,k08,k17,kD,0,14.69,25,kO,kF,k3,1
34296,1,9.066716667,2,5440.03,kOT,37,0,kD,kS,300,kF,600,900,5000,kS,4,k0,k2,34296,34296,255,k85,k10,kI,0.11,12,38,kO,kF,k3,0
125812,7,0.15791361,1,193.76,kOT,46,14911,kC,kM,605,kM,1227,1832,4000,kU,3,k0,k1,125812,110901,721,k29,k10,kD,14.28,14.69,48,kO,kN,k3,0
3000,11,0.302341137,1,90.4,kOT,28,237,kS,kM,173,kF,299,472,1000,kP,2,k0,k1,3000,2763,367,k22,k10,kD,22.81,14.69,28,kO,kF,k3,0
43091.4,6,0.481997754,0,145.92,kOT,65,0,kC,kM,327,kM,302.74,629.74,3000,kP,1,k0,k3,43091.4,38111.25,731,k26,k10,kD,8.92,14.69,65,kR,kN,k3,0
59524,4,8.511633333,0,5106.98,kOT,64,1248,kC,kB,400,kM,600,1000,5000,kS,2,k0,k1,59524,58276,59,k26,k10,kD,272.65,12,65,kO,kF,k3,0
10404,13,0.404083485,2,222.65,kOT,29,0,kC,kM,300,kM,551,851,8000,kP,1,k0,k1,10404,10404,1452,k22,k10,kD,5.2,14.69,28,kO,kN,k3,0
43243.31,0,0.378831522,0,278.82,kOT,64,2600,kC,kM,250,kF,736,986,10000,kP,1,k0,k1,43243.31,40643.31,1451,k26,k10,kD,806.49,14.69,66,kO,kN,k3,0
5000,-1,0.321494465,0,250.92,kOT,23,3749.14,kC,kM,987.88,kM,780.48,1768.36,9000,kS,1,k0,k7,5000,1250.86,1456,k12,k17,kD,116.78,14.69,26,kO,kF,k3,0
